core_family,baseline_hits,baseline_rate,trait,value,trait_hits,trait_total,lift,baseline_rate_per_100k
048,109,0.001363028173417199,seed_sum_mod3,2,46,26879,1.2555669973250836,136.3028173417199
048,109,0.001363028173417199,seed_even_count,0,8,4934,1.189559060330305,136.3028173417199
048,109,0.001363028173417199,seed_high_count,1,32,19875,1.181239628411517,136.3028173417199
048,109,0.001363028173417199,seed_spread,3-5,44,27370,1.179432379254055,136.3028173417199
048,109,0.001363028173417199,seed_even_count,3,32,20021,1.1726256238289248,136.3028173417199
048,109,0.001363028173417199,seed_sum_mod2,odd,61,40018,1.11832909135843,136.3028173417199
056,110,0.0013755330190448798,overlap_unique,3,4,1595,1.8231746936449134,137.55330190448797
056,110,0.0013755330190448798,seed_sum_range4_best,29-32,5,2331,1.5593970593970594,137.55330190448797
056,110,0.0013755330190448798,seed_high_count,1,33,19875,1.207079245283019,137.55330190448797
056,110,0.0013755330190448798,seed_structure,ABCD,67,40580,1.2003053452215602,137.55330190448797
056,110,0.0013755330190448798,seed_high_count,4,8,4918,1.1825797626529633,137.55330190448797
056,110,0.0013755330190448798,seed_spread,<=2,7,4317,1.178813148861794,137.55330190448797
056,110,0.0013755330190448798,seed_sum_mod3,1,43,26722,1.1698454116798551,137.55330190448797
056,110,0.0013755330190448798,seed_even_count,2,48,30072,1.1604004933613874,137.55330190448797
056,110,0.0013755330190448798,seed_high_count,2,48,30237,1.154068314858076,137.55330190448797
056,110,0.0013755330190448798,seed_even_count,3,31,20021,1.1256539724198682,137.55330190448797
059,127,0.0015881153947154521,seed_structure,AABB,6,2148,1.7588747635595832,158.81153947154522
059,127,0.0015881153947154521,overlap_unique,3,4,1652,1.5246420468627864,158.81153947154522
059,127,0.0015881153947154521,seed_even_count,0,11,4934,1.4038201902913738,158.81153947154522
059,127,0.0015881153947154521,seed_sum_range4_best,25-28,17,8067,1.3269507637317,158.81153947154522
059,127,0.0015881153947154521,seed_sum_mod3,1,51,26722,1.2017639186090439,158.81153947154522
059,127,0.0015881153947154521,seed_high_count,0,9,4985,1.1368293857951808,158.81153947154522
059,127,0.0015881153947154521,seed_high_count,3,36,19954,1.1360317707104293,158.81153947154522
059,127,0.0015881153947154521,seed_spread,3-5,48,27370,1.104293165400361,158.81153947154522
059,127,0.0015881153947154521,seed_even_count,2,52,30072,1.0888272345845038,158.81153947154522
059,127,0.0015881153947154521,seed_structure,AABC,59,34212,1.085904149301576,158.81153947154522
067,116,0.0014505620928109643,seed_structure,AAAB,8,2934,1.8797216933455563,145.05620928109641
067,116,0.0014505620928109643,seed_sum_range4_best,20-23,35,17919,1.3465359443164737,145.05620928109641
067,116,0.0014505620928109643,overlap_unique,3,3,1669,1.2391634470362183,145.05620928109641
067,116,0.0014505620928109643,seed_even_count,2,52,30072,1.1920780930364825,145.05620928109641
067,116,0.0014505620928109643,seed_sum_mod2,even,66,39951,1.1388852206021343,145.05620928109641
067,116,0.0014505620928109643,seed_spread,3-5,45,27370,1.1334474569437971,145.05620928109641
067,116,0.0014505620928109643,seed_even_count,0,8,4934,1.1177753239310624,145.05620928109641
067,116,0.0014505620928109643,seed_high_count,0,8,4985,1.1063397087815168,145.05620928109641
067,116,0.0014505620928109643,seed_sum_mod3,2,43,26879,1.1028565435649673,145.05620928109641
067,116,0.0014505620928109643,overlap_unique,0,30,19020,1.0873626672468182,145.05620928109641
068,126,0.0015756105490877714,overlap_unique,3,5,1666,1.904785723813335,157.56105490877715
068,126,0.0015756105490877714,seed_sum_range4_best,14-17,41,19649,1.3243248374043837,157.56105490877715
068,126,0.0015756105490877714,seed_structure,AAAB,6,2934,1.297903073976694,157.56105490877715
068,126,0.0015756105490877714,seed_even_count,4,10,4945,1.283467347168055,157.56105490877715
068,126,0.0015756105490877714,seed_spread,<=2,8,4317,1.1761401031727647,157.56105490877715
068,126,0.0015756105490877714,seed_high_count,2,56,30237,1.1754399503184105,157.56105490877715
068,126,0.0015756105490877714,seed_even_count,3,37,20021,1.1729164535967394,157.56105490877715
