core_family,baseline_hits,baseline_rate,trait,value,trait_hits,trait_total,trait_rate,lift,lift_diff,baseline_rate_per_100k
16,329,0.009360951459625563,seed_lead_band,7-9,96,10530,0.009116809116809116,0.9739190675360887,-0.0002441423428164464,936.0951459625562
16,329,0.009360951459625563,seed_prime_count,1,111,12149,0.009136554448925837,0.9760283971487764,-0.00022439701069972527,936.0951459625562
16,329,0.009360951459625563,seed_spread_band,0-3,42,4586,0.009158307893589184,0.9783522468938768,-0.0002026435660363781,936.0951459625562
16,329,0.009360951459625563,seed_sum_lastdigit,6,32,3489,0.009171682430495844,0.9797810051738812,-0.00018926902912971832,936.0951459625562
16,329,0.009360951459625563,seed_sum_mod3,0,105,11432,0.009184744576627012,0.9811763917633219,-0.00017620688299855095,936.0951459625562
16,329,0.009360951459625563,seed_sum_lastdigit,9,32,3480,0.009195402298850575,0.9823149215665723,-0.00016554916077498802,936.0951459625562
16,329,0.009360951459625563,seed_vtrac_unique,3,186,20147,0.009232143743485383,0.9862398906034566,-0.00012880771614018002,936.0951459625562
16,329,0.009360951459625563,seed_mirror_pairs_any,yes,152,16363,0.009289250137505348,0.9923403809506472,-7.170132212021459e-05,936.0951459625562
16,329,0.009360951459625563,seed_trail_band,0-3,130,13955,0.009315657470440702,0.9951613904440999,-4.529398918486083e-05,936.0951459625562
16,329,0.009360951459625563,seed_repeat_digit,6,16,1714,0.009334889148191364,0.9972158480314093,-2.6062311434198182e-05,936.0951459625562
17,307,0.008734991179650601,seed_repeat_digit,5,11,1767,0.00622524052065648,0.7126785125048619,-0.0025097506589941213,873.4991179650601
17,307,0.008734991179650601,seed_sum_lastdigit,4,23,3579,0.006426376082704666,0.7357049309535446,-0.0023086150969459348,873.4991179650601
17,307,0.008734991179650601,seed_sum_lastdigit,2,23,3501,0.006569551556698086,0.7520959576928694,-0.002165439622952515,873.4991179650601
17,307,0.008734991179650601,seed_sum_lastdigit,9,24,3480,0.006896551724137931,0.789531618555543,-0.00183843945551267,873.4991179650601
17,307,0.008734991179650601,seed_repeat_digit,1,13,1810,0.0071823204419889505,0.8222470171144743,-0.0015526707376616504,873.4991179650601
17,307,0.008734991179650601,seed_repeat_digit,4,13,1749,0.007432818753573471,0.8509245860361342,-0.00130217242607713,873.4991179650601
17,307,0.008734991179650601,seed_vtrac_unique,4,51,6778,0.007524343464148716,0.8614025257034879,-0.0012106477155018848,873.4991179650601
17,307,0.008734991179650601,seed_structure,AAAB,10,1266,0.007898894154818325,0.9042818695936313,-0.000836097024832276,873.4991179650601
17,307,0.008734991179650601,seed_high_count,0,17,2149,0.007910656119125175,0.9056284037875355,-0.0008243350605254256,873.4991179650601
